guid,template_id,heuristic,template,subtemplate_id,label,premise,hypothesis,high_quality,extreme_low_quality,var_list,example_premise,example_hypotheis,example_high_quality,example_extreme_low_quality
2880,18, lexical_overlap, ln_relative_clause, 0,neutral, the N1 Rels1 the N2 Vt1 Vt2 the N3., the N2 Vt2 the N1.,"Rels1 in Rels1 the N2 Vt1 refers to the N1 and the N1 Vt2 the N3 , we do not know whether the N2 Vt2 the N1.", N2 Vt1 N1 N1 Vt2 N3 not know N2 Vt2 N1,"['N1', 'N2', 'N3', 'Vt1', 'Vt2', 'Rels1']",the athlete who the technicians mentioned affected the architects .,the technicians affected the athlete .,"who in who the technicians mentioned refers to the athlete and the athlete affected the architects , we do not know whether the technicians affected the athlete .",technicians mentioned athlete athlete affected architects not know technicians affected athlete
3040,19, lexical_overlap, ln_relative_clause, 1,neutral, the N1 Rels1 the N2 Vt1 Vt2 the N3., the N3 Vt2 the N1.,"the N1 Vt2 the N3 , we do not know whether the N3 Vt2 the N1.", N1 Vt2 N3 not know N3 Vt2 N1,"['N1', 'N2', 'N3', 'Vt1', 'Vt2', 'Rels1']",the technologists that the lyricist affected introduced the judges .,the judges introduced the technologists .,"the technologists introduced the judges , we do not know whether the judges introduced the technologists .",technologists introduced judges not know judges introduced technologists
3200,20, lexical_overlap, ln_relative_clause, 2,neutral, the N1 Rels1 the N2 Vt1 Vt2 the N3., the N3 Vt1 the N2.,"the N1 N1_Be1 the object of the relative clause Rels1 the N2 Vt1 and the N1 Vt2 the N3 , we do not know whether the N3 Vt1 the N2.", N1 N2 Vt1 N1 Vt2 N3 not know N3 Vt1 N2,"['N1', 'N2', 'N3', 'Vt1', 'Vt2', 'Rels1', 'N1_Be1']",the sculptor who the counselor mentioned called the animator .,the animator mentioned the counselor .,"the sculptor is the object of the relative clause who the counselor mentioned and the sculptor called the animator , we do not know whether the animator mentioned the counselor .",sculptor counselor mentioned sculptor called animator not know animator mentioned counselor
3360,21, lexical_overlap, ln_relative_clause, 3,neutral, the N1 Rels1 Vt1 the N2 Vt2 the N3., the N2 Vt2 the N1.,"the N1 N1_Be1 the subject of the relative clause Rels1 Vt1 the N2 and the N1 Vt2 the N3 , we do not know whether the N2 Vt2 the N1.", N1 Vt1 N2 N1 Vt2 N3 not know N2 Vt2 N1,"['N1', 'N2', 'N3', 'Vt1', 'Vt2', 'Rels1', 'N1_Be1']",the colorist who contacted the engineer found the managers .,the engineer found the colorist .,"the colorist is the subject of the relative clause who contacted the engineer and the colorist found the managers , we do not know whether the engineer found the colorist .",colorist contacted engineer colorist found managers not know engineer found colorist
3520,22, lexical_overlap, ln_relative_clause, 4,neutral, the N1 Rels1 Vt1 the N2 Vt2 the N3., the N3 Vt2 the N1.,"the N1 Vt2 the N3 , we do not know whether the N3 Vt2 the N1.", N1 Vt2 N3 not know N3 Vt2 N1,"['N1', 'N2', 'N3', 'Vt1', 'Vt2', 'Rels1']",the chaplain that found the senators addressed the programmers .,the programmers addressed the chaplain .,"the chaplain addressed the programmers , we do not know whether the programmers addressed the chaplain .",chaplain addressed programmers not know programmers addressed chaplain
3680,23, lexical_overlap, ln_relative_clause, 5,neutral, the N1 Rels1 Vt1 the N2 Vt2 the N3., the N3 Vt2 the N2.,"the N1 N1_Be1 the subject of the relative clause Rels1 Vt1 the N2 and the N1 Vt2 the N3 , we do not know whether the N3 Vt2 the N2.", N1 Vt1 N2 N1 Vt2 N3 not know N3 Vt2 N2,"['N1', 'N2', 'N3', 'Vt1', 'Vt2', 'Rels1', 'N1_Be1']",the planner that contacted the engineers addressed the programmer .,the programmer addressed the engineers .,"the planner is the subject of the relative clause that contacted the engineers and the planner addressed the programmer , we do not know whether the programmer addressed the engineers .",planner contacted engineers planner addressed programmer not know programmer addressed engineers
3840,24, lexical_overlap, ln_relative_clause, 6,neutral, the N1 Vt1 the N2 Rels1 Vt2 the N3., the N2 Vt1 the N1.,"the N1 Vt1 the N2 , we do not know whether the N2 Vt1 the N1.", N1 Vt1 N2 not know N2 Vt1 N1,"['N1', 'N2', 'N3', 'Vt1', 'Vt2', 'Rels1']",the animator introduced the programmers who mentioned the athletes .,the programmers introduced the animator .,"the animator introduced the programmers , we do not know whether the programmers introduced the animator .",animator introduced programmers not know programmers introduced animator
4000,25, lexical_overlap, ln_relative_clause, 7,neutral, the N1 Vt1 the N2 Rels1 Vt2 the N3., the N2 Vt1 the N3.,"the N2 N2_Be1 the subject of the relative clause Rels1 Vt2 the N3 and the N1 Vt1 the N2 , we do not know whether the N2 Vt1 the N3.", N2 Vt2 N3 N1 Vt1 N2 not know N2 Vt1 N3,"['N1', 'N2', 'N3', 'Vt1', 'Vt2', 'Rels1', 'N2_Be1']",the sculptors addressed the animators that contacted the programmer .,the animators addressed the programmer .,"the animators are the subject of the relative clause that contacted the programmer and the sculptors addressed the animators , we do not know whether the animators addressed the programmer .",animators contacted programmer sculptors addressed animators not know animators addressed programmer
4160,26, lexical_overlap, ln_relative_clause, 8,neutral, the N1 Vt1 the N2 Rels1 Vt2 the N3., the N3 Vt1 the N1.,"the N2 N2_Be1 the subject of the relative clause Rels1 Vt2 the N3 and the N1 Vt1 the N2 , we do not know whether the N3 Vt1 the N1.", N2 Vt2 N3 N1 Vt1 N2 not know N3 Vt1 N1,"['N1', 'N2', 'N3', 'Vt1', 'Vt2', 'Rels1', 'N2_Be1']",the lyricist needed the engineer who contacted the therapist .,the therapist needed the lyricist .,"the engineer is the subject of the relative clause who contacted the therapist and the lyricist needed the engineer , we do not know whether the therapist needed the lyricist .",engineer contacted therapist lyricist needed engineer not know therapist needed lyricist
4320,27, lexical_overlap, ln_relative_clause, 9,neutral, the N1 Vt1 the N2 Rels1 the N3 Vt2., the N2 Vt1 the N1.,"the N1 Vt1 the N2 , we do not know whether the N2 Vt1 the N1.", N1 Vt1 N2 not know N2 Vt1 N1,"['N1', 'N2', 'N3', 'Vt1', 'Vt2', 'Rels1']",the bankers recommended the psychiatrist who the artisan mentioned .,the psychiatrist recommended the bankers .,"the bankers recommended the psychiatrist , we do not know whether the psychiatrist recommended the bankers .",bankers recommended psychiatrist not know psychiatrist recommended bankers
4480,28, lexical_overlap, ln_relative_clause, 10,neutral, the N1 Vt1 the N2 Rels1 the N3 Vt2., the N2 Vt1 the N3.,"the N2 N2_Be1 the object of the relative clause Rels1 the N3 Vt2 and the N1 Vt1 the N2 , we do not know whether the N2 Vt1 the N3.", N2 N3 Vt2 N1 Vt1 N2 not know N2 Vt1 N3,"['N1', 'N2', 'N3', 'Vt1', 'Vt2', 'Rels1', 'N2_Be1']",the artisans contacted the programmer that the sculptor called .,the programmer contacted the sculptor .,"the programmer is the object of the relative clause that the sculptor called and the artisans contacted the programmer , we do not know whether the programmer contacted the sculptor .",programmer sculptor called artisans contacted programmer not know programmer contacted sculptor
4640,29, lexical_overlap, ln_relative_clause, 11,neutral, the N1 Vt1 the N2 Rels1 the N3 Vt2., the N3 Vt1 the N1.,"the N2 N2_Be1 the object of the relative clause Rels1 the N3 Vt2 and the N1 Vt1 the N2 , we do not know whether the N3 Vt1 the N1.", N2 N3 Vt2 N1 Vt1 N2 not know N3 Vt1 N1,"['N1', 'N2', 'N3', 'Vt1', 'Vt2', 'Rels1', 'N2_Be1']",the manager introduced the psychiatrists that the banker affected .,the banker introduced the manager .,"the psychiatrists are the object of the relative clause that the banker affected and the manager introduced the psychiatrists , we do not know whether the banker introduced the manager .",psychiatrists banker affected manager introduced psychiatrists not know banker introduced manager
4800,30, lexical_overlap, ln_passive, 0,neutral, the Ns1 was Vt1 by the N2., the Ns1 Vt1 the N2.,"Vt1 is the active form of was Vt1 by , so the N2 Vt1 the Ns1 , we do not know whether the Ns1 Vt1 the N2.", Vt1 Vt1 N2 Vt1 Ns1 not know Ns1 Vt1 N2,"['Ns1', 'N2', 'Vt1']",the artisan was found by the programmers .,the artisan found the programmers .,"found is the active form of was found by , so the programmers found the artisan , we do not know whether the artisan found the programmers .",found found programmers found artisan not know artisan found programmers
4960,31, lexical_overlap, ln_passive, 1,neutral, the Np1 were Vt1 by the N2., the Np1 Vt1 the N2.,"Vt1 is the active form of were Vt1 by , so the N2 Vt1 the Np1 , we do not know whether the Np1 Vt1 the N2.", Vt1 Vt1 N2 Vt1 Np1 not know Np1 Vt1 N2,"['Np1', 'N2', 'Vt1']",the judges were affected by the manager .,the judges affected the manager .,"affected is the active form of were affected by , so the manager affected the judges , we do not know whether the judges affected the manager .",affected affected manager affected judges not know judges affected manager
5120,32, lexical_overlap, ln_conjunction, 0,neutral, the N1 and the N2 Vt1 the N3., the N1 Vt1 the N2.,"the N1 Vt1 the N3 and the N2 Vt1 the N3 , we do not know whether the N1 Vt1 the N2.", N1 Vt1 N3 N2 Vt1 N3 not know N1 Vt1 N2,"['N1', 'N2', 'N3', 'Vt1']",the essayist and the chaplain admired the sculptors .,the essayist admired the chaplain .,"the essayist admired the sculptors and the chaplain admired the sculptors , we do not know whether the essayist admired the chaplain .",essayist admired sculptors chaplain admired sculptors not know essayist admired chaplain
5280,33, lexical_overlap, ln_conjunction, 1,neutral, the N1 and the N2 Vt1 the N3., the N2 Vt1 the N1.,"the N1 Vt1 the N3 and the N2 Vt1 the N3 , we do not know whether the N2 Vt1 the N1.", N1 Vt1 N3 N2 Vt1 N3 not know N2 Vt1 N1,"['N1', 'N2', 'N3', 'Vt1']",the counselors and the sculptor called the professors .,the sculptor called the counselors .,"the counselors called the professors and the sculptor called the professors , we do not know whether the sculptor called the counselors .",counselors called professors sculptor called professors not know sculptor called counselors
5440,34, lexical_overlap, ln_conjunction, 2,neutral, the N1 Vt1 the N2 and the N3., the N2 Vt1 the N3.,"the N1 Vt1 the N2 and the N1 Vt1 the N3 , we do not know whether the N2 Vt1 the N3.", N1 Vt1 N2 N1 Vt1 N3 not know N2 Vt1 N3,"['N1', 'N2', 'N3', 'Vt1']",the chaplains affected the programmers and the sculptors .,the programmers affected the sculptors .,"the chaplains affected the programmers and the chaplains affected the sculptors , we do not know whether the programmers affected the sculptors .",chaplains affected programmers chaplains affected sculptors not know programmers affected sculptors
5600,35, lexical_overlap, ln_conjunction, 3,neutral, the N1 Vt1 the N2 and the N3., the N3 Vt1 the N2.,"the N1 Vt1 the N2 and the N1 Vt1 the N3 , we do not know whether the N3 Vt1 the N2.", N1 Vt1 N2 N1 Vt1 N3 not know N3 Vt1 N2,"['N1', 'N2', 'N3', 'Vt1']",the banker encouraged the counselors and the senator .,the senator encouraged the counselors .,"the banker encouraged the counselors and the banker encouraged the senator , we do not know whether the senator encouraged the counselors .",banker encouraged counselors banker encouraged senator not know senator encouraged counselors
5920,37, subsequence, se_adjective, 0,entailment, Adj1 Np1 Vi1., Np1 Vi1., Adj1 Np1 are still Np1., Adj1 Np1 Np1,"['Adj1', 'Np1', 'Vi1']",reliable colorists performed .,colorists performed .,reliable colorists are still colorists .,reliable colorists colorists
6080,38, subsequence, se_adjective, 1,entailment, Adj1 Np1 Vt1 the N2., Np1 Vt1 the N2., Adj1 Np1 are still Np1., Adj1 Np1 Np1,"['Adj1', 'Np1', 'Vt1', 'N2']",young sculptors encouraged the analysts .,sculptors encouraged the analysts .,young sculptors are still sculptors .,young sculptors sculptors
6240,39, subsequence, se_understood_object, 0,entailment,the N1 Vunderstand1 the Vunderstand1_O1., the N1 Vunderstand1., Vunderstand1 the Vunderstand1_O1 is still Vunderstand1., Vunderstand1 Vunderstand1_O1 Vunderstand1,"['N1', 'Vunderstand1_O1', 'Vunderstand1']",the actor read the story .,the actor read .,read the story is still read .,read story read
6560,41, subsequence, se_relative_clause_on_obj, 1,entailment, the N1 Vt1 the N2 Rels1 the N3 Vt2., the N1 Vt1 the N2., the N2 Rels1 the N3 Vt2 N2_Be1 still the N2., N2 N3 Vt2 N2,"['N1', 'Vt1', 'N2', 'N2_Be1', 'Rels1', 'Vt2', 'N3']",the engineers contacted the sculptors that the chaplain encouraged .,the engineers contacted the sculptors .,the sculptors that the chaplain encouraged are still the sculptors .,sculptors chaplain encouraged sculptors
6880,43, subsequence, se_PP_on_obj, 0,entailment, the N1 Vt1 the N2 P1 the N3., the N1 Vt1 the N2., the N2 P1 the N3 N2_Be1 still the N2., N2 N3 N2,"['N1', 'Vt1', 'N2', 'N2_Be1', 'P1', 'N3']",the psychiatrist introduced the chaplains in front of the engineers .,the psychiatrist introduced the chaplains .,the chaplains in front of the engineers are still the chaplains .,chaplains engineers chaplains
7360,46, subsequence, se_conjunction, 2,entailment, the N1 Vt1 the N2 and the N3., the N1 Vt1 the N2., the N2 N2_Be1 part of the N2 and the N3., N2 N2 N3,"['N1', 'Vt1', 'N2', 'N3', 'N2_Be1']",the musicians mentioned the colorist and the essayist .,the musicians mentioned the colorist .,the colorist is part of the colorist and the essayist .,colorist colorist essayist
7520,47, subsequence, sn_PP_on_subject, 0,neutral, the N1 P1 the N2 Vi1., the N2 Vi1.,"the N1 N1_Be1 P1 the N2 and the N1 Vi1 , we do not know whether the N2 Vi1.", N1 N2 N1 Vi1 not know N2 Vi1,"['N1', 'Vi1', 'N2', 'P1', 'N1_Be1']",the planners behind the musicians grew .,the musicians grew .,"the planners are behind the musicians and the planners grew , we do not know whether the musicians grew .",planners musicians planners grew not know musicians grew
7680,48, subsequence, sn_PP_on_subject, 1,neutral, the N1 P1 the N2 Vt1 the N3., the N2 Vt1 the N3.,"the N1 N1_Be1 P1 the N2 and the N1 Vt1 the N3 , we do not know whether the N2 Vt1 the N3.", N1 N2 N1 Vt1 N3 not know N2 Vt1 N3,"['N1', 'Vt1', 'N2', 'N3', 'P1', 'N1_Be1']",the analyst next to the psychiatrist admired the lyricist .,the psychiatrist admired the lyricist .,"the analyst is next to the psychiatrist and the analyst admired the lyricist , we do not know whether the psychiatrist admired the lyricist .",analyst psychiatrist analyst admired lyricist not know psychiatrist admired lyricist
7840,49, subsequence, sn_relative_clause_on_subject, 0,neutral, the N1 Rels1 Vt1 the N2 Vi2., the N2 Vi2.,"the N1 Rels1 Vt1 the N2 N1_Be1 still the N1 , so the N1 Vi2 and we do not know whether the N2 Vi2.", N1 Vt1 N2 N1 N1 Vi2 not know N2 Vi2,"['N1', 'Vt1', 'N2', 'Vi2', 'Rels1', 'N1_Be1']",the actors that found the analysts existed .,the analysts existed .,"the actors that found the analysts are still the actors , so the actors existed and we do not know whether the analysts existed .",actors found analysts actors actors existed not know analysts existed
8000,50, subsequence, sn_relative_clause_on_subject, 1,neutral, the N1 Rels1 Vt1 the N2 Vt2 the N3., the N2 Vt2 the N3.,"the N1 Rels1 Vt1 the N2 N1_Be1 still the N1 , so the N1 Vt2 the N3 and we do not know whether the N2 Vt2 the N3.", N1 Vt1 N2 N1 N1 Vt2 N3 not know N2 Vt2 N3,"['N1', 'Vt1', 'N2', 'Vt2', 'Rels1', 'N3', 'N1_Be1']",the bankers who contacted the bakers recommended the therapists .,the bakers recommended the therapists .,"the bankers who contacted the bakers are still the bankers , so the bankers recommended the therapists and we do not know whether the bakers recommended the therapists .",bankers contacted bakers bankers bankers recommended therapists not know bakers recommended therapists
8160,51, subsequence, sn_past_participle, 0,neutral, the N1 Vpp1 in the Nlocation2 Vi2., the N1 Vpp1 in the Nlocation2., the N1 N1_BePast1 Vpp1 in the Nlocation2 and we do not know whether the N1 Vpp1 in the Nlocation2., N1 Vpp1 Nlocation2 not know N1 Vpp1 Nlocation2,"['N1', 'Nlocation2', 'Vpp1', 'Vi2', 'N1_BePast1']",the bakers investigated in the museum performed .,the bakers investigated in the museum .,the bakers were investigated in the museum and we do not know whether the bakers investigated in the museum .,bakers investigated museum not know bakers investigated museum
8320,52, subsequence, sn_past_participle, 1,neutral, the N1 Vpp1 in the Nlocation2 Vt2 the N3., the N1 Vpp1 in the Nlocation2., the N1 N1_BePast1 Vpp1 in the Nlocation2 and we do not know whether the N1 Vpp1 in the Nlocation2., N1 Vpp1 Nlocation2 not know N1 Vpp1 Nlocation2,"['N1', 'Nlocation2', 'Vpp1', 'Vt2', 'N3', 'N1_BePast1']",the artisan presented in the office introduced the counselor .,the artisan presented in the office .,the artisan was presented in the office and we do not know whether the artisan presented in the office .,artisan presented office not know artisan presented office
8480,53, subsequence, sn_past_participle, 2,neutral, the N1 Vt1 the N2 Vpp2 in the Nlocation3.,the N2 Vpp2 in the Nlocation3., the N2 N2_BePast1 Vpp2 in the Nlocation3 and we do not know whether the N2 Vpp2 in the Nlocation3., N2 Vpp2 Nlocation3 not know N2 Vpp2 Nlocation3,"['N1', 'Nlocation3', 'Vt1', 'Vpp2', 'N2', 'N2_BePast1']",the actors mentioned the engineer paid in the office .,the engineer paid in the office .,the engineer was paid in the office and we do not know whether the engineer paid in the office .,engineer paid office not know engineer paid office
8640,54, subsequence, sn_NP/Z, 0,neutral,"Conj1 the N1 Vnpz1 , the N2 Vi2.", the N1 Vnpz1 the N2.,"the N2 Vi2 and the N1 Vnpz1 , we do not know whether the N1 Vnpz1 the N2.", N2 Vi2 N1 Vnpz1 not know N1 Vnpz1 N2,"['Conj1', 'N1', 'N2', 'Vnpz1', 'Vi2']","although the strategists fought , the counselors voted .",the strategists fought the counselors .,"the counselors voted and the strategists fought , we do not know whether the strategists fought the counselors .",counselors voted strategists fought not know strategists fought counselors
8800,55, subsequence, sn_NP/Z, 1,neutral,"Conj1 the N1 Vnpz1 , the N2 Vt2 the N3.", the N1 Vnpz1 the N2.,"the N2 Vt2 the N3 and the N1 Vnpz1 , we do not know whether the N1 Vnpz1 the N2.", N2 Vt2 N3 N1 Vnpz1 not know N1 Vnpz1 N2,"['Conj1', 'N1', 'N2', 'Vnpz1', 'Vt2', 'N3']","since the banker studied , the actor affected the senator .",the banker studied the actor .,"the actor affected the senator and the banker studied , we do not know whether the banker studied the actor .",actor affected senator banker studied not know banker studied actor
8960,56, subsequence, sn_NP/S, 0,neutral, the N1 Vnps1 the N2 Vi2., the N1 Vnps1 the N2.,"the N1 Vnps1 the N2 Vi2 , we do not know whether the N1 Vnps1 the person as in the N2.", N1 Vnps1 N2 Vi2 not know N1 Vnps1 N2,"['N1', 'N2', 'Vnps1', 'Vi2']",the manager heard the actor lay .,the manager heard the actor .,"the manager heard the actor lay , we do not know whether the manager heard the person as in the actor .",manager heard actor lay not know manager heard actor
9120,57, subsequence, sn_NP/S, 1,neutral, the N1 Vnps1 the N2 Vt2 the N3., the N1 Vnps1 the N2.,"the N1 Vnps1 the N2 Vt2 the N3 , we do not know whether the N1 Vnps1 the person as in the N2.", N1 Vnps1 N2 Vt2 N3 not know N1 Vnps1 N2,"['N1', 'N2', 'Vnps1', 'Vt2', 'N3']",the technologist heard the chaplain found the counselors .,the technologist heard the chaplain .,"the technologist heard the chaplain found the counselors , we do not know whether the technologist heard the person as in the chaplain .",technologist heard chaplain found counselors not know technologist heard chaplain
9600,60, constituent, ce_after_since_clause, 2,entailment,"Advoutent1 the N1 Vi1 , the N2 Vt2 the N3.",the N2 Vt2 the N3.,"the N1 Vi1 , so the N2 Vt2 the N3.", N1 Vi1 N2 Vt2 N3,"['N1', 'N2', 'Vi1', 'Vt2', 'N3', 'Advoutent1']","after the chaplains smiled , the manager found the artisans .",the manager found the artisans .,"the chaplains smiled , so the manager found the artisans .",chaplains smiled manager found artisans
9760,61, constituent, ce_after_since_clause, 3,entailment,"Advoutent1 the N1 Vt1 the N3 , the N2 Vt2 the N4.",the N2 Vt2 the N4.,"the N1 Vt1 the N3 , so the N2 Vt2 the N4.", N1 Vt1 N3 N2 Vt2 N4,"['N1', 'N2', 'Vt1', 'Vt2', 'N3', 'N4', 'Advoutent1']","since the essayists mentioned the architects , the senator contacted the manager .",the senator contacted the manager .,"the essayists mentioned the architects , so the senator contacted the manager .",essayists mentioned architects senator contacted manager
10080,63, constituent, ce_after_since_clause, 5,entailment,"in case the N1 Vt1 the N3 , the N2 Vi2.", the N2 Vi2., the past tense Vi2 suggests the N2 Vi2 happened., Vi2 N2 Vi2,"['N1', 'N2', 'Vt1', 'Vi2', 'N3']","in case the planner admired the architects , the analysts lay .",the analysts lay .,the past tense lay suggests the analysts lay happened .,lay analysts lay
10240,64, constituent, ce_after_since_clause, 6,entailment,"in case the N1 Vi1 , the N2 Vt2 the N3.", the N2 Vt2 the N3., the past tense Vt2 the N3 suggests the N2 Vt2 the N3 happened., Vt2 N3 N2 Vt2 N3,"['N1', 'N2', 'Vi1', 'Vt2', 'N3']","in case the strategists performed , the therapists affected the professor .",the therapists affected the professor .,the past tense affected the professor suggests the therapists affected the professor happened .,affected professor therapists affected professor
10560,66, constituent, ce_after_since_clause, 8,entailment,"whether or not the N1 Vi1 , the N2 Vi2.",the N2 Vi2.,the N2 Vi2 despite the clause whether or not the N1 Vi1., N2 Vi2 N1 Vi1,"['N1', 'N2', 'Vi1', 'Vi2']","whether or not the senators grew , the psychiatrist arrived .",the psychiatrist arrived .,the psychiatrist arrived despite the clause whether or not the senators grew .,psychiatrist arrived senators grew
10720,67, constituent, ce_after_since_clause, 9,entailment,"whether or not the N1 Vt1 the N3 , the N2 Vi2.",the N2 Vi2.,the N2 Vi2 despite the clause whether or not the N1 Vt1 the N3., N2 Vi2 N1 Vt1 N3,"['N1', 'N2', 'Vt1', 'Vi2', 'N3']","whether or not the sculptors contacted the actors , the lyricist arrived .",the lyricist arrived .,the lyricist arrived despite the clause whether or not the sculptors contacted the actors .,lyricist arrived sculptors contacted actors
10880,68, constituent, ce_after_since_clause, 10,entailment,"whether or not the N1 Vi1 , the N2 Vt2 the N3.",the N2 Vt2 the N3.,the N2 Vt2 the N3 despite the clause whether or not the N1 Vi1., N2 Vt2 N3 N1 Vi1,"['N1', 'N2', 'Vi1', 'Vt2', 'N3']","whether or not the professor smiled , the banker contacted the analyst .",the banker contacted the analyst .,the banker contacted the analyst despite the clause whether or not the professor smiled .,banker contacted analyst professor smiled
