guid,template_id,heuristic,template,subtemplate_id,label,premise,hypothesis,high_quality,extreme_low_quality,var_list,example_premise,example_hypotheis,example_high_quality,example_extreme_low_quality
800,5, lexical_overlap, le_conjunction, 1,entailment, the N1 Vt1 the N2 and the N3., the N1 Vt1 the N3., the N3 N3_Be1 part of the N2 and the N3., N3 N2 N3,"['N1', 'Vt1', 'N2', 'N3', 'N3_Be1']",the potters mentioned the pencillers and the tourist .,the potters mentioned the tourist .,the tourist is part of the pencillers and the tourist .,tourist pencillers tourist
801,5, lexical_overlap, le_conjunction, 1,entailment, the N1 Vt1 the N2 and the N3., the N1 Vt1 the N3., the N3 N3_Be1 part of the N2 and the N3., N3 N2 N3,"['N1', 'Vt1', 'N2', 'N3', 'N3_Be1']",the essayist introduced the illustrators and the stylists .,the essayist introduced the stylists .,the stylists are part of the illustrators and the stylists .,stylists illustrators stylists
1120,7, lexical_overlap, le_passive, 1,entailment, the Np1 were Vt1 by the N2., the N2 Vt1 the Np1.,"Vt1 is the active form of was Vt1 by , so we swap the Np1 and the N2.", Vt1 Vt1 Np1 N2,"['Np1', 'Vt1', 'N2']",the scientists were supported by the banker .,the banker supported the scientists .,"supported is the active form of was supported by , so we swap the scientists and the banker .",supported supported scientists banker
1121,7, lexical_overlap, le_passive, 1,entailment, the Np1 were Vt1 by the N2., the N2 Vt1 the Np1.,"Vt1 is the active form of was Vt1 by , so we swap the Np1 and the N2.", Vt1 Vt1 Np1 N2,"['Np1', 'Vt1', 'N2']",the dancers were deceived by the counselor .,the counselor deceived the dancers .,"deceived is the active form of was deceived by , so we swap the dancers and the counselor .",deceived deceived dancers counselor
1280,8, lexical_overlap, le_relative_clause, 0,entailment, the N1 Rels1 the N2 Vt1 Vt2 the N3.,the N2 Vt1 the N1.,Rels1 in Rels1 the N2 Vt1 refers to the N1., N2 Vt1 N1,"['N1', 'Vt1', 'N2', 'Vt2', 'N3', 'Rels1']",the bankers that the director supported recommended the doctor .,the director supported the bankers .,that in that the director supported refers to the bankers .,director supported bankers
1281,8, lexical_overlap, le_relative_clause, 0,entailment, the N1 Rels1 the N2 Vt1 Vt2 the N3.,the N2 Vt1 the N1.,Rels1 in Rels1 the N2 Vt1 refers to the N1., N2 Vt1 N1,"['N1', 'Vt1', 'N2', 'Vt2', 'N3', 'Rels1']",the programmer that the pencillers addressed deceived the professor .,the pencillers addressed the programmer .,that in that the pencillers addressed refers to the programmer .,pencillers addressed programmer
1440,9, lexical_overlap, le_relative_clause, 1,entailment, the N1 Rels1 Vt1 the N2 Vt2 the N3., the N1 Vt1 the N2., Rels1 in Rels1 Vt1 the N2 refers to the N1., Vt1 N2 N1,"['N1', 'Vt1', 'Vt2', 'N2', 'Rels1', 'N3']",the illustrators that saw the officers introduced the potter .,the illustrators saw the officers .,that in that saw the officers refers to the illustrators .,saw officers illustrators
1441,9, lexical_overlap, le_relative_clause, 1,entailment, the N1 Rels1 Vt1 the N2 Vt2 the N3., the N1 Vt1 the N2., Rels1 in Rels1 Vt1 the N2 refers to the N1., Vt1 N2 N1,"['N1', 'Vt1', 'Vt2', 'N2', 'Rels1', 'N3']",the scientist that found the writers saw the potters .,the scientist found the writers .,that in that found the writers refers to the scientist .,found writers scientist
1600,10, lexical_overlap, le_relative_clause, 2,entailment, the N1 Vt1 the N2 Rels1 Vt2 the N3., the N2 Vt2 the N3., the N2 is the subject of the relative clause Rels1 Vt2 the N3., N2 Vt2 N3,"['N1', 'Vt1', 'Vt2', 'N2', 'Rels1', 'N3']",the counselor recommended the programmers that introduced the doctors .,the programmers introduced the doctors .,the programmers is the subject of the relative clause that introduced the doctors .,programmers introduced doctors
1601,10, lexical_overlap, le_relative_clause, 2,entailment, the N1 Vt1 the N2 Rels1 Vt2 the N3., the N2 Vt2 the N3., the N2 is the subject of the relative clause Rels1 Vt2 the N3., N2 Vt2 N3,"['N1', 'Vt1', 'Vt2', 'N2', 'Rels1', 'N3']",the illustrators recommended the essayists that introduced the professors .,the essayists introduced the professors .,the essayists is the subject of the relative clause that introduced the professors .,essayists introduced professors
1760,11, lexical_overlap, le_relative_clause, 3,entailment, the N1 Vt1 the N2 Rels1 the N3 Vt2., the N3 Vt2 the N2., the N2 N2_Be1 the object of the relative clause Rels1 the N3 Vt2., N2 N3 Vt2,"['N1', 'Vt1', 'Vt2', 'N2', 'Rels1', 'N3', 'N2_Be1']",the scientists found the counselors that the programmers mentioned .,the programmers mentioned the counselors .,the counselors are the object of the relative clause that the programmers mentioned .,counselors programmers mentioned
1761,11, lexical_overlap, le_relative_clause, 3,entailment, the N1 Vt1 the N2 Rels1 the N3 Vt2., the N3 Vt2 the N2., the N2 N2_Be1 the object of the relative clause Rels1 the N3 Vt2., N2 N3 Vt2,"['N1', 'Vt1', 'Vt2', 'N2', 'Rels1', 'N3', 'N2_Be1']",the colorists saw the stylists that the director thanked .,the director thanked the stylists .,the stylists are the object of the relative clause that the director thanked .,stylists director thanked
1920,12, lexical_overlap, ln_preposition, 0,neutral, the N1 P1 the N2 Vt1 the N3., the N2 Vt1 the N1.,"the N1 Vt1 the N3 and the N1 N1_Be1 P1 the N2 , we do not know whether the N2 Vt1 the N1.", N1 Vt1 N3 N1 N2 not know N2 Vt1 N1,"['N1', 'N2', 'N3', 'Vt1', 'P1', 'N1_Be1']",the colorists next to the dancers addressed the writer .,the dancers addressed the colorists .,"the colorists addressed the writer and the colorists are next to the dancers , we do not know whether the dancers addressed the colorists .",colorists addressed writer colorists dancers not know dancers addressed colorists
1921,12, lexical_overlap, ln_preposition, 0,neutral, the N1 P1 the N2 Vt1 the N3., the N2 Vt1 the N1.,"the N1 Vt1 the N3 and the N1 N1_Be1 P1 the N2 , we do not know whether the N2 Vt1 the N1.", N1 Vt1 N3 N1 N2 not know N2 Vt1 N1,"['N1', 'N2', 'N3', 'Vt1', 'P1', 'N1_Be1']",the senator by the writers thanked the professor .,the writers thanked the senator .,"the senator thanked the professor and the senator is by the writers , we do not know whether the writers thanked the senator .",senator thanked professor senator writers not know writers thanked senator
2080,13, lexical_overlap, ln_preposition, 1,neutral, the N1 P1 the N2 Vt1 the N3., the N3 Vt1 the N1.,"the N1 Vt1 the N3 , we do not know whether the N3 Vt1 the N1.", N1 Vt1 N3 not know N3 Vt1 N1,"['N1', 'N2', 'N3', 'Vt1', 'P1']",the artisan by the musicians saw the pencillers .,the pencillers saw the artisan .,"the artisan saw the pencillers , we do not know whether the pencillers saw the artisan .",artisan saw pencillers not know pencillers saw artisan
2081,13, lexical_overlap, ln_preposition, 1,neutral, the N1 P1 the N2 Vt1 the N3., the N3 Vt1 the N1.,"the N1 Vt1 the N3 , we do not know whether the N3 Vt1 the N1.", N1 Vt1 N3 not know N3 Vt1 N1,"['N1', 'N2', 'N3', 'Vt1', 'P1']",the illustrator next to the baker deceived the chaplain .,the chaplain deceived the illustrator .,"the illustrator deceived the chaplain , we do not know whether the chaplain deceived the illustrator .",illustrator deceived chaplain not know chaplain deceived illustrator
2240,14, lexical_overlap, ln_preposition, 2,neutral, the N1 P1 the N2 Vt1 the N3., the N3 Vt1 the N2.,"the N1 Vt1 the N3 and the N2 N2_Be1 P1 the N1 , we do not know whether the N3 Vt1 the N2.", N1 Vt1 N3 N2 N1 not know N3 Vt1 N2,"['N1', 'N2', 'N3', 'Vt1', 'P1', 'N2_Be1']",the dancers by the professor found the counselor .,the counselor found the professor .,"the dancers found the counselor and the professor is by the dancers , we do not know whether the counselor found the professor .",dancers found counselor professor dancers not know counselor found professor
2241,14, lexical_overlap, ln_preposition, 2,neutral, the N1 P1 the N2 Vt1 the N3., the N3 Vt1 the N2.,"the N1 Vt1 the N3 and the N2 N2_Be1 P1 the N1 , we do not know whether the N3 Vt1 the N2.", N1 Vt1 N3 N2 N1 not know N3 Vt1 N2,"['N1', 'N2', 'N3', 'Vt1', 'P1', 'N2_Be1']",the essayists next to the musicians saw the scientist .,the scientist saw the musicians .,"the essayists saw the scientist and the musicians are next to the essayists , we do not know whether the scientist saw the musicians .",essayists saw scientist musicians essayists not know scientist saw musicians
2400,15, lexical_overlap, ln_preposition, 3,neutral, the N1 Vt1 the N2 P1 the N3., the N2 Vt1 the N1.,"the N1 Vt1 the N2 , we do not know whether the N2 Vt1 the N1.", N1 Vt1 N2 not know N2 Vt1 N1,"['N1', 'N2', 'N3', 'Vt1', 'P1']",the potters recommended the counselor next to the tourists .,the counselor recommended the potters .,"the potters recommended the counselor , we do not know whether the counselor recommended the potters .",potters recommended counselor not know counselor recommended potters
2401,15, lexical_overlap, ln_preposition, 3,neutral, the N1 Vt1 the N2 P1 the N3., the N2 Vt1 the N1.,"the N1 Vt1 the N2 , we do not know whether the N2 Vt1 the N1.", N1 Vt1 N2 not know N2 Vt1 N1,"['N1', 'N2', 'N3', 'Vt1', 'P1']",the professor offended the director next to the dancer .,the director offended the professor .,"the professor offended the director , we do not know whether the director offended the professor .",professor offended director not know director offended professor
2560,16, lexical_overlap, ln_preposition, 4,neutral, the N1 Vt1 the N2 P1 the N3., the N2 Vt1 the N3.,"the N1 Vt1 the N2 and the N2 N2_Be2 P1 the N3 , we do not know whether the N2 Vt1 the N3.", N1 Vt1 N2 N2 N3 not know N2 Vt1 N3,"['N1', 'N2', 'N3', 'Vt1', 'P1', 'N1_Be1', 'N2_Be2']",the musicians addressed the programmer next to the writers .,the programmer addressed the writers .,"the musicians addressed the programmer and the programmer is next to the writers , we do not know whether the programmer addressed the writers .",musicians addressed programmer programmer writers not know programmer addressed writers
2561,16, lexical_overlap, ln_preposition, 4,neutral, the N1 Vt1 the N2 P1 the N3., the N2 Vt1 the N3.,"the N1 Vt1 the N2 and the N2 N2_Be2 P1 the N3 , we do not know whether the N2 Vt1 the N3.", N1 Vt1 N2 N2 N3 not know N2 Vt1 N3,"['N1', 'N2', 'N3', 'Vt1', 'P1', 'N1_Be1', 'N2_Be2']",the artisan found the planner by the colorists .,the planner found the colorists .,"the artisan found the planner and the planner is by the colorists , we do not know whether the planner found the colorists .",artisan found planner planner colorists not know planner found colorists
2720,17, lexical_overlap, ln_preposition, 5,neutral, the N1 Vt1 the N2 P1 the N3., the N3 Vt1 the N1.,"the N1 Vt1 the N2 and the N2 N2_Be2 P1 the N3 , we do not know whether the N3 Vt1 the N1.", N1 Vt1 N2 N2 N3 not know N3 Vt1 N1,"['N1', 'N2', 'N3', 'Vt1', 'P1', 'N1_Be1', 'N2_Be2']",the colorist avoided the chaplains next to the writers .,the writers avoided the colorist .,"the colorist avoided the chaplains and the chaplains are next to the writers , we do not know whether the writers avoided the colorist .",colorist avoided chaplains chaplains writers not know writers avoided colorist
2721,17, lexical_overlap, ln_preposition, 5,neutral, the N1 Vt1 the N2 P1 the N3., the N3 Vt1 the N1.,"the N1 Vt1 the N2 and the N2 N2_Be2 P1 the N3 , we do not know whether the N3 Vt1 the N1.", N1 Vt1 N2 N2 N3 not know N3 Vt1 N1,"['N1', 'N2', 'N3', 'Vt1', 'P1', 'N1_Be1', 'N2_Be2']",the tourists found the administrators next to the actors .,the actors found the tourists .,"the tourists found the administrators and the administrators are next to the actors , we do not know whether the actors found the tourists .",tourists found administrators administrators actors not know actors found tourists
2880,18, lexical_overlap, ln_relative_clause, 0,neutral, the N1 Rels1 the N2 Vt1 Vt2 the N3., the N2 Vt2 the N1.,"Rels1 in Rels1 the N2 Vt1 refers to the N1 and the N1 Vt2 the N3 , we do not know whether the N2 Vt2 the N1.", N2 Vt1 N1 N1 Vt2 N3 not know N2 Vt2 N1,"['N1', 'N2', 'N3', 'Vt1', 'Vt2', 'Rels1']",the psychiatrist that the illustrators avoided offended the therapist .,the illustrators offended the psychiatrist .,"that in that the illustrators avoided refers to the psychiatrist and the psychiatrist offended the therapist , we do not know whether the illustrators offended the psychiatrist .",illustrators avoided psychiatrist psychiatrist offended therapist not know illustrators offended psychiatrist
2881,18, lexical_overlap, ln_relative_clause, 0,neutral, the N1 Rels1 the N2 Vt1 Vt2 the N3., the N2 Vt2 the N1.,"Rels1 in Rels1 the N2 Vt1 refers to the N1 and the N1 Vt2 the N3 , we do not know whether the N2 Vt2 the N1.", N2 Vt1 N1 N1 Vt2 N3 not know N2 Vt2 N1,"['N1', 'N2', 'N3', 'Vt1', 'Vt2', 'Rels1']",the actor that the programmer mentioned avoided the essayists .,the programmer avoided the actor .,"that in that the programmer mentioned refers to the actor and the actor avoided the essayists , we do not know whether the programmer avoided the actor .",programmer mentioned actor actor avoided essayists not know programmer avoided actor
3040,19, lexical_overlap, ln_relative_clause, 1,neutral, the N1 Rels1 the N2 Vt1 Vt2 the N3., the N3 Vt2 the N1.,"the N1 Vt2 the N3 , we do not know whether the N3 Vt2 the N1.", N1 Vt2 N3 not know N3 Vt2 N1,"['N1', 'N2', 'N3', 'Vt1', 'Vt2', 'Rels1']",the planners that the illustrators saw mentioned the bankers .,the bankers mentioned the planners .,"the planners mentioned the bankers , we do not know whether the bankers mentioned the planners .",planners mentioned bankers not know bankers mentioned planners
3041,19, lexical_overlap, ln_relative_clause, 1,neutral, the N1 Rels1 the N2 Vt1 Vt2 the N3., the N3 Vt2 the N1.,"the N1 Vt2 the N3 , we do not know whether the N3 Vt2 the N1.", N1 Vt2 N3 not know N3 Vt2 N1,"['N1', 'N2', 'N3', 'Vt1', 'Vt2', 'Rels1']",the planners that the professor supported addressed the dancers .,the dancers addressed the planners .,"the planners addressed the dancers , we do not know whether the dancers addressed the planners .",planners addressed dancers not know dancers addressed planners
3200,20, lexical_overlap, ln_relative_clause, 2,neutral, the N1 Rels1 the N2 Vt1 Vt2 the N3., the N3 Vt1 the N2.,"the N1 N1_Be1 the object of the relative clause Rels1 the N2 Vt1 and the N1 Vt2 the N3 , we do not know whether the N3 Vt1 the N2.", N1 N2 Vt1 N1 Vt2 N3 not know N3 Vt1 N2,"['N1', 'N2', 'N3', 'Vt1', 'Vt2', 'Rels1', 'N1_Be1']",the tourist that the professors supported recommended the illustrators .,the illustrators supported the professors .,"the tourist is the object of the relative clause that the professors supported and the tourist recommended the illustrators , we do not know whether the illustrators supported the professors .",tourist professors supported tourist recommended illustrators not know illustrators supported professors
3201,20, lexical_overlap, ln_relative_clause, 2,neutral, the N1 Rels1 the N2 Vt1 Vt2 the N3., the N3 Vt1 the N2.,"the N1 N1_Be1 the object of the relative clause Rels1 the N2 Vt1 and the N1 Vt2 the N3 , we do not know whether the N3 Vt1 the N2.", N1 N2 Vt1 N1 Vt2 N3 not know N3 Vt1 N2,"['N1', 'N2', 'N3', 'Vt1', 'Vt2', 'Rels1', 'N1_Be1']",the directors that the writer introduced deceived the bankers .,the bankers introduced the writer .,"the directors are the object of the relative clause that the writer introduced and the directors deceived the bankers , we do not know whether the bankers introduced the writer .",directors writer introduced directors deceived bankers not know bankers introduced writer
3520,22, lexical_overlap, ln_relative_clause, 4,neutral, the N1 Rels1 Vt1 the N2 Vt2 the N3., the N3 Vt2 the N1.,"the N1 Vt2 the N3 , we do not know whether the N3 Vt2 the N1.", N1 Vt2 N3 not know N3 Vt2 N1,"['N1', 'N2', 'N3', 'Vt1', 'Vt2', 'Rels1']",the chaplain that addressed the programmers offended the tourist .,the tourist offended the chaplain .,"the chaplain offended the tourist , we do not know whether the tourist offended the chaplain .",chaplain offended tourist not know tourist offended chaplain
3521,22, lexical_overlap, ln_relative_clause, 4,neutral, the N1 Rels1 Vt1 the N2 Vt2 the N3., the N3 Vt2 the N1.,"the N1 Vt2 the N3 , we do not know whether the N3 Vt2 the N1.", N1 Vt2 N3 not know N3 Vt2 N1,"['N1', 'N2', 'N3', 'Vt1', 'Vt2', 'Rels1']",the counselor that mentioned the stylists addressed the planners .,the planners addressed the counselor .,"the counselor addressed the planners , we do not know whether the planners addressed the counselor .",counselor addressed planners not know planners addressed counselor
3680,23, lexical_overlap, ln_relative_clause, 5,neutral, the N1 Rels1 Vt1 the N2 Vt2 the N3., the N3 Vt2 the N2.,"the N1 N1_Be1 the subject of the relative clause Rels1 Vt1 the N2 and the N1 Vt2 the N3 , we do not know whether the N3 Vt2 the N2.", N1 Vt1 N2 N1 Vt2 N3 not know N3 Vt2 N2,"['N1', 'N2', 'N3', 'Vt1', 'Vt2', 'Rels1', 'N1_Be1']",the counselor that thanked the planners avoided the colorist .,the colorist avoided the planners .,"the counselor is the subject of the relative clause that thanked the planners and the counselor avoided the colorist , we do not know whether the colorist avoided the planners .",counselor thanked planners counselor avoided colorist not know colorist avoided planners
3681,23, lexical_overlap, ln_relative_clause, 5,neutral, the N1 Rels1 Vt1 the N2 Vt2 the N3., the N3 Vt2 the N2.,"the N1 N1_Be1 the subject of the relative clause Rels1 Vt1 the N2 and the N1 Vt2 the N3 , we do not know whether the N3 Vt2 the N2.", N1 Vt1 N2 N1 Vt2 N3 not know N3 Vt2 N2,"['N1', 'N2', 'N3', 'Vt1', 'Vt2', 'Rels1', 'N1_Be1']",the colorist that addressed the professor introduced the senator .,the senator introduced the professor .,"the colorist is the subject of the relative clause that addressed the professor and the colorist introduced the senator , we do not know whether the senator introduced the professor .",colorist addressed professor colorist introduced senator not know senator introduced professor
3840,24, lexical_overlap, ln_relative_clause, 6,neutral, the N1 Vt1 the N2 Rels1 Vt2 the N3., the N2 Vt1 the N1.,"the N1 Vt1 the N2 , we do not know whether the N2 Vt1 the N1.", N1 Vt1 N2 not know N2 Vt1 N1,"['N1', 'N2', 'N3', 'Vt1', 'Vt2', 'Rels1']",the illustrators found the artisans that deceived the writer .,the artisans found the illustrators .,"the illustrators found the artisans , we do not know whether the artisans found the illustrators .",illustrators found artisans not know artisans found illustrators
3841,24, lexical_overlap, ln_relative_clause, 6,neutral, the N1 Vt1 the N2 Rels1 Vt2 the N3., the N2 Vt1 the N1.,"the N1 Vt1 the N2 , we do not know whether the N2 Vt1 the N1.", N1 Vt1 N2 not know N2 Vt1 N1,"['N1', 'N2', 'N3', 'Vt1', 'Vt2', 'Rels1']",the bankers found the baker that mentioned the actor .,the baker found the bankers .,"the bankers found the baker , we do not know whether the baker found the bankers .",bankers found baker not know baker found bankers
4000,25, lexical_overlap, ln_relative_clause, 7,neutral, the N1 Vt1 the N2 Rels1 Vt2 the N3., the N2 Vt1 the N3.,"the N2 N2_Be1 the subject of the relative clause Rels1 Vt2 the N3 and the N1 Vt1 the N2 , we do not know whether the N2 Vt1 the N3.", N2 Vt2 N3 N1 Vt1 N2 not know N2 Vt1 N3,"['N1', 'N2', 'N3', 'Vt1', 'Vt2', 'Rels1', 'N2_Be1']",the doctor thanked the director that mentioned the psychiatrist .,the director thanked the psychiatrist .,"the director is the subject of the relative clause that mentioned the psychiatrist and the doctor thanked the director , we do not know whether the director thanked the psychiatrist .",director mentioned psychiatrist doctor thanked director not know director thanked psychiatrist
4001,25, lexical_overlap, ln_relative_clause, 7,neutral, the N1 Vt1 the N2 Rels1 Vt2 the N3., the N2 Vt1 the N3.,"the N2 N2_Be1 the subject of the relative clause Rels1 Vt2 the N3 and the N1 Vt1 the N2 , we do not know whether the N2 Vt1 the N3.", N2 Vt2 N3 N1 Vt1 N2 not know N2 Vt1 N3,"['N1', 'N2', 'N3', 'Vt1', 'Vt2', 'Rels1', 'N2_Be1']",the essayist introduced the professor that supported the potter .,the professor introduced the potter .,"the professor is the subject of the relative clause that supported the potter and the essayist introduced the professor , we do not know whether the professor introduced the potter .",professor supported potter essayist introduced professor not know professor introduced potter
4160,26, lexical_overlap, ln_relative_clause, 8,neutral, the N1 Vt1 the N2 Rels1 Vt2 the N3., the N3 Vt1 the N1.,"the N2 N2_Be1 the subject of the relative clause Rels1 Vt2 the N3 and the N1 Vt1 the N2 , we do not know whether the N3 Vt1 the N1.", N2 Vt2 N3 N1 Vt1 N2 not know N3 Vt1 N1,"['N1', 'N2', 'N3', 'Vt1', 'Vt2', 'Rels1', 'N2_Be1']",the potters saw the stylist that recommended the chaplain .,the chaplain saw the potters .,"the stylist is the subject of the relative clause that recommended the chaplain and the potters saw the stylist , we do not know whether the chaplain saw the potters .",stylist recommended chaplain potters saw stylist not know chaplain saw potters
4161,26, lexical_overlap, ln_relative_clause, 8,neutral, the N1 Vt1 the N2 Rels1 Vt2 the N3., the N3 Vt1 the N1.,"the N2 N2_Be1 the subject of the relative clause Rels1 Vt2 the N3 and the N1 Vt1 the N2 , we do not know whether the N3 Vt1 the N1.", N2 Vt2 N3 N1 Vt1 N2 not know N3 Vt1 N1,"['N1', 'N2', 'N3', 'Vt1', 'Vt2', 'Rels1', 'N2_Be1']",the counselor addressed the baker that supported the scientist .,the scientist addressed the counselor .,"the baker is the subject of the relative clause that supported the scientist and the counselor addressed the baker , we do not know whether the scientist addressed the counselor .",baker supported scientist counselor addressed baker not know scientist addressed counselor
4480,28, lexical_overlap, ln_relative_clause, 10,neutral, the N1 Vt1 the N2 Rels1 the N3 Vt2., the N2 Vt1 the N3.,"the N2 N2_Be1 the object of the relative clause Rels1 the N3 Vt2 and the N1 Vt1 the N2 , we do not know whether the N2 Vt1 the N3.", N2 N3 Vt2 N1 Vt1 N2 not know N2 Vt1 N3,"['N1', 'N2', 'N3', 'Vt1', 'Vt2', 'Rels1', 'N2_Be1']",the psychiatrists thanked the senators that the musicians supported .,the senators thanked the musicians .,"the senators are the object of the relative clause that the musicians supported and the psychiatrists thanked the senators , we do not know whether the senators thanked the musicians .",senators musicians supported psychiatrists thanked senators not know senators thanked musicians
4481,28, lexical_overlap, ln_relative_clause, 10,neutral, the N1 Vt1 the N2 Rels1 the N3 Vt2., the N2 Vt1 the N3.,"the N2 N2_Be1 the object of the relative clause Rels1 the N3 Vt2 and the N1 Vt1 the N2 , we do not know whether the N2 Vt1 the N3.", N2 N3 Vt2 N1 Vt1 N2 not know N2 Vt1 N3,"['N1', 'N2', 'N3', 'Vt1', 'Vt2', 'Rels1', 'N2_Be1']",the penciller supported the essayists that the planners found .,the essayists supported the planners .,"the essayists are the object of the relative clause that the planners found and the penciller supported the essayists , we do not know whether the essayists supported the planners .",essayists planners found penciller supported essayists not know essayists supported planners
4800,30, lexical_overlap, ln_passive, 0,neutral, the Ns1 was Vt1 by the N2., the Ns1 Vt1 the N2.,"Vt1 is the active form of was Vt1 by , so the N2 Vt1 the Ns1 , we do not know whether the Ns1 Vt1 the N2.", Vt1 Vt1 N2 Vt1 Ns1 not know Ns1 Vt1 N2,"['Ns1', 'N2', 'Vt1']",the actor was offended by the programmers .,the actor offended the programmers .,"offended is the active form of was offended by , so the programmers offended the actor , we do not know whether the actor offended the programmers .",offended offended programmers offended actor not know actor offended programmers
4801,30, lexical_overlap, ln_passive, 0,neutral, the Ns1 was Vt1 by the N2., the Ns1 Vt1 the N2.,"Vt1 is the active form of was Vt1 by , so the N2 Vt1 the Ns1 , we do not know whether the Ns1 Vt1 the N2.", Vt1 Vt1 N2 Vt1 Ns1 not know Ns1 Vt1 N2,"['Ns1', 'N2', 'Vt1']",the chaplain was deceived by the bankers .,the chaplain deceived the bankers .,"deceived is the active form of was deceived by , so the bankers deceived the chaplain , we do not know whether the chaplain deceived the bankers .",deceived deceived bankers deceived chaplain not know chaplain deceived bankers
4960,31, lexical_overlap, ln_passive, 1,neutral, the Np1 were Vt1 by the N2., the Np1 Vt1 the N2.,"Vt1 is the active form of were Vt1 by , so the N2 Vt1 the Np1 , we do not know whether the Np1 Vt1 the N2.", Vt1 Vt1 N2 Vt1 Np1 not know Np1 Vt1 N2,"['Np1', 'N2', 'Vt1']",the artisans were found by the professor .,the artisans found the professor .,"found is the active form of were found by , so the professor found the artisans , we do not know whether the artisans found the professor .",found found professor found artisans not know artisans found professor
