guid,label,premise,hypothesis,expl1,template
3432550415.jpg#0r1e,entailment,A skateboarder is riding a skateboard along a metal railing in front of a concrete building.,A skateboarder is riding a skateboard,"If a skateboarder is riding a skateboard, no matter where he is he is riding a skateboard.",
2721954475.jpg#4r1e,entailment,A group of girls in a huddle.,A group of girls in a huddle.,"Exactly the same, group of girls in a huddle.",
2689491604.jpg#2r1e,entailment,A little boy splashing in a blue inflatable pool.,A little boy splashing in a blue inflatable pool,This is the same sentence in both examples. They are identical. They are about a little boy in a blue inflatable pool.,
1522291943.jpg#3r3e,entailment,Three men on a scaffold erected outside a building.,three men on a scaffold,"""Three men on a scaffold"" is a less detailed restatement of ""Three men on a scaffold erected outside a building.""",
3587596696.jpg#3r1e,entailment,A group of people hold a Frisbee with their fingers.,a group of people hold a frisbee,People holding a frisbee with their fingers can also be said to simply hold a frisbee.,
4485090958.jpg#3r1e,entailment,A view of a woman wearing a striped skirt and jacket facing away standing in front of a colonnaded building.,A view of a woman wearing a striped skirt and jacket facing away standing in front of a colonnaded building,"As the statements (A view of a woman wearing a striped skirt and jacket facing away standing in front of a colonnaded building) are identical, they naturally follow one after another.",
2194167019.jpg#4r1e,entailment,A messy haired girl in a club.,A messy haired girl in a club.,The two sentences are the same. A messy haired girl in a club.,
6353805299.jpg#1r1e,entailment,A group of young high school or college students are smiling while performing a science experiment involving beakers and the transfer of liquids,A group of young high school or college students are smiling,THEY ARE SMILING.,
4916205156.jpg#3r1e,entailment,The Amsterdam tourist information office and people walking by.,people walking by,PEOPLE WOULD B WALKING BY.,
3724487641.jpg#1r1n,neutral,Young boys running along the pavement.,Boys running along the pavement.,Boys running along the pavement can be implied by young boys running along the pavement.,
4637051450.jpg#1r1e,entailment,There are two people walking down the street carrying lots of luggage on their bags.,two people walking,PEOPLE ARE WALKING WHEN THEY ARE WALKING DOWN A STREET,
209088143.jpg#0r1e,entailment,A group of young men and women drinking beer and cocktails sit in lounge chairs against a brick wall.,A group of young men and women drinking beer,A group that is drinking beer and cocktails are drinking beer.,
4284601289.jpg#1r1e,entailment,A team in red and black uniforms stand on each others' shoulders while crowd presses into them.,A team in red and black uniforms stand on each others' shoulders,The team in red and black uniforms stand on each others' shoulders because the crowd is pressing into them.,
3414867566.jpg#0r1e,entailment,"During a rhythmic gymnastic event, the gymnast in the blue and gold uniforms will be using their hoops to perform.",The gymnast in the blue and gold uniforms will be using their hoops to perform.,In a gymnastic even only gymnast can perform,
3414867566.jpg#1r1e,entailment,Two gymnasts in blue and gold uniforms are holding hula hoops as a part of a routine.,Gymnasts in blue and gold uniforms are holding hula hoops as a part of a routine.,Two gymnasts are gymnasts,
549639456.jpg#3r1e,entailment,A man is jumping through the air.,a man is jumping,A man is jumping in the air.,
549639456.jpg#4r1e,entailment,A person is jumping in the air.,A person is jumping,A person jumping in the air is jumping.,
3909552008.jpg#4r1e,entailment,Phone line workers doing repairs.,workers doing repairs,in a both sentence doing and repairs are different.,
3848524309.jpg#1r1e,entailment,"Two children stand on their on hands inside a doorway, while 2 friends observe them.","Children stand on their on hands inside a doorway, while 2 friends observe them.","One is a child, while two are children.",
2488783398.jpg#2r1e,entailment,there is n't a lot of action just a guy at a hotdog stand on normal day.,A guy at a hotdog stand,A guy being at a hotdog stand on a normal day must include a guy at a hotdog stage in general.,
2568656919.jpg#4r1e,entailment,Two dogs running in shallow water.,Dogs running in shallow water.,The dogs are running.,
6067800722.jpg#1r1e,entailment,lady in gray top and white pants carrying soap in laundry mat.,lady in gray,lady in gray and lady in gray is the same.,
2015953389.jpg#0r1e,entailment,3 workers in blue shirts are cleaning windows on a platform.,3 workers in blue shirts are cleaning windows,Cleaning windows implies cleaning windows.,
288025239.jpg#0r1e,entailment,A woman smiles from inside a red tent that is surrounded by snow.,A woman smiles from inside a red tent,The tent is red.,
4851524954.jpg#0r1e,entailment,Two women sit at an outdoor cafe table laden with teapots and cups while other people sit at other tables in the background.,Two women sit at an outdoor cafe,Outdoor cafe is the same as outdoor cafe.,
2573625591.jpg#2r1e,entailment,three dogs are running across the grass near to a blue industrial building.,three dogs are running,"The three dogs are running, however they are on the grass near a building.",
3042483842.jpg#1r1e,entailment,"A man wearing glasses, a blue shirt with a black jacket and a smile",A man wearing glasses,Both subjects are wearing glasses,
7184992060.jpg#1r1e,entailment,A man holding a camera reaches over a railing to shake the hand of a 2012 graduate.,a man holding a camera,A man holding a camera is the subject of sentence 2.,
1174629344.jpg#2r1e,entailment,A group of people walking a city street in warm weather.,A group of people walking,A group of people walking a street is the same as people walking.,
2607861348.jpg#1r1e,entailment,Fishermen work their nets closer to shore while a boat sits in the water connected to the nets.,Fishermen work their nets,"""Fisherman work their nets"" omits the details ""closer to shore while a boat sits in the water connected to the nets""",
3561635009.jpg#4r1e,entailment,People walk across fields of ice holding poles.,People walk across fields,""" Walk across fields of ice "" is a more descriptive rephrasing of "" walk across fields "".",
295278943.jpg#0r1e,entailment,"There is a crowd of people with two women, one with a yellow shirt and one with a star shaped earring, closest to the camera.",there is a crowd,There are two women in a crowd getting their pictures taken.,
2484190118.jpg#0r1e,entailment,Small child in white shirt and print shorts with hands over their head standing on object.,Small child in white shirt and print shorts with hands over their head standing on object,"Both sentences are the exact same, describing what a small child is doing.",
3765332712.jpg#4r1e,entailment,Asian teens performing on stage.,Teens performing on stage.,Asian teens are teens.,
7558565322.jpg#4r1e,entailment,The band performs on a naturally lit stage.,The band performs,band performs is a direct meaning,
3642220260.jpg#1r1n,neutral,A black dog walks on the beach near the rocks.,A black dog walks on the beach near the rocks.,The sentences are the same,
3642220260.jpg#1r1e,entailment,A black dog walks on the beach near the rocks.,A black dog walks on the beach near the rocks.,THEY ARE BY THE ROCKS.,
4242038325.jpg#0r4e,entailment,A small group of soccer players are on a soccer field standing around while a player is looked at for injuries.,A player is looked at for injuries.,the sentence implies that a player is being looked at for injuries,
3525514625.jpg#3r1e,entailment,Adjustments being performed on a bicycle under a tent.,Adjustments being performed on a bicycle,Adjustments being performed on a bicycle is the same as adjustments being performed on a bicycle.,
3202798691.jpg#3r1e,entailment,A man is riding a bicycle down a dirt road.,A man is riding a bicycle,Riding a bicycle is the same as riding a bicycle.,
vg_len77r4e,entailment,There is a boat in the background to the left of the orange utility truck.,There is a boat,The boat is in the background.,
3514281858.jpg#1r1e,entailment,A woman is playing with a puppet in front of some children.,a woman is playing with a puppet,A woman playing with a puppet could imply that she is putting on a puppet show for children.,
4568930518.jpg#3r1e,entailment,Two women are kissing on a bike.,Two women are kissing,THEY ARE KISSING.,
335588286.jpg#1r1e,entailment,A white dog has caught a stick on the beach beside the ocean.,A white dog has caught a stick on the beach .,A beach beside the ocean is a beach.,
1804144683.jpg#0r2e,entailment,"An artist is working on his very contemporary looking piece of art, and is focusing very intensely on the work at hand.",an artist is working,artist is working is the same as artist is working,
6060344876.jpg#4r1e,entailment,This is a professional fisherman.,A professional fisherman.,"To say this is a professional fisherman, it must involve a professional fisherman.",
4900222239.jpg#3r1e,entailment,A young man in white is midair on his bicycle performing a trick.,A young man in white is midair,"When a young man is performing a trick, he goes into midair on his bicycle.",
181343499.jpg#4r1e,entailment,Men are sitting on stairs as a woman walks by.,men are sitting,"""men are sitting"" is a simplification of ""Men are sitting on stairs as a woman walks by""",
4834131290.jpg#0r1e,entailment,Man and woman walking along a walkway surrounded by high buildings with tunnels to walk through between buildings.,Man and woman walking along a walkway,Man and woman walking along a walkway is the same as man and woman walking along a walkway.,
509241560.jpg#4r1e,entailment,Some children climb around a shrine.,Children climb around a shrine.,Some children climb.,
3941241861.jpg#2r1e,entailment,A group of men are sitting around having drinks.,men are sitting,A group of men were sitting in the park and having good time.,
4115261994.jpg#3r1e,entailment,a crowd of people at a city festival with smoke and fireworks,People at a city festival with smoke and fireworks,A crowd of people are people,
1301978702.jpg#1r3e,entailment,"A middle-aged man sitting in a chair holding a drink, sleeping.",A middle-aged man sitting in a chair,Sitting in a chair holding a drink a type of sitting.,
204886976.jpg#0r1e,entailment,"Metal casting of two men in suits riding bikes along side of a third person, a skeleton, in a wheelchair.",Metal casting of two men in suits riding,People ride bike so people riding are riding bike.,
86124605.jpg#3r1e,entailment,An Asian women holding a bag and smiling.,Women holding a bag,Asian women are women.,
3072074170.jpg#2r1c,contradiction,A man in a brown shirt is balancing on one hand in a grassy field.,A man i,The man isn't described in both instances.,
2243700772.jpg#2r1e,entailment,Man holds up seafood platter and smiles.,Man holds up seafood platter,Holding up a seafood platter and smiling requires one to hold up a seafood platter.,
4967473493.jpg#2r1e,entailment,A woman in a red shirt is standing inside next to a table.,A woman in a red shirt,If  woman is wearing a red shirt then there is a woman in a red shirt.,
203146155.jpg#3r1e,entailment,"Two women having a meal, one of which is laughing.","Women having a meal, one of which is laughing.",Women mean more than one. e.i two.,
95903273.jpg#3r1e,entailment,Two people are performing a synchronized swimming routine.,Two people are performing a synchronized swimming routine.,Synchronized swimming is being performed.,
4968358093.jpg#0r1e,entailment,An older man with a large mustache talking into a bullhorn.,An older man with a large mustache talking,An older man is talking and he has a large mustache.,
795081510.jpg#0r1e,entailment,A man embraces a woman as they look over the railing out over the water at a ship.,A man embraces a woman,A man and a woman embraces.,
4851006985.jpg#1r1e,entailment,Here is a picture of a woman smiling at the camera and is smoking cigarettes at a candlelight dinner.,A picture of a woman smiling,A picture of a woman smiling at the camera is a picture of a woman smiling.,
3368902903.jpg#2r1e,entailment,Three men travel down a sidewalk next to a park bench.,Three men travel down a sidewalk,The men travel down a sidewalk regardless of what is next to them.,
2453891449.jpg#2r1e,entailment,Two dogs running through a yard with a forest in the distance.,Dogs running through a yard with a forest in the distance.,It has already been stated that the dogs are running through a yard.,
6179396322.jpg#4r1e,entailment,Blond woman singing on stage.,Blond woman singing,Singing on stage is a paraphrase of singing.,
2907244809.jpg#2r1e,entailment,A boy is skateboarding in a skateboard park.,A boy is skateboarding,The boy skateboarding in a skateboard park is still a boy skateboarding.,
4910169752.jpg#1r1e,entailment,Several young people play a board game using a large blanket in a grassy field.,Several young people play a board game using a large blanket in a grassy field.,Several young people are people play a board game.,
7165826558.jpg#4r1e,entailment,Three men playing golf close to the water.,Men playing golf close to the water.,More than one man are called men. Hence three men are termed as men.,
83434923.jpg#2r1e,entailment,A man in a black shirt cooking in a smokey kitchen.,A man in a black shirt cooking in a smokey kitchen.,The two sentences are identical. : A man in a black shirt cooking in a smokey kitchen.,
3591078425.jpg#1r1n,neutral,"She is playing tennis with her blue tennis clothes on, it looks hot out there.","She is playing tennis with her blue tennis clothes on, it looks hot out there.",How hot the weather looks cannot be inferred from how she is dressed.,
3591078425.jpg#1r1e,entailment,"She is playing tennis with her blue tennis clothes on, it looks hot out there.","She is playing tennis with her blue tennis clothes on, it looks hot out there.","She is playing tennis with her blue tennis clothes on, it looks hot out there is the same as she is playing tennis with her blue tennis clothes on, it looks hot out there.",
509912302.jpg#4r1e,entailment,Several people ride down an escalator.,People ride down an escalator.,There are people because there are several people.,
4376136908.jpg#2r2e,entailment,A dark-skinned child blowing some bubbles using his mouth.,A dark-skinned child blowing some bubbles using his mouth.,The child  blowing action to make bubbles is done using the mouth.,
426994291.jpg#3r1e,entailment,three woman talking under an overhang.,three woman talking,There are three woman and they are three woman talking.,
3582814058.jpg#1r1e,entailment,Six people are posing for a picture in front of a wall with graffiti.,Six people are posing for a picture,"""Six people are posing for a picture"" is the same as, ""Six people are posing for a picture.""",
2168723623.jpg#1r1e,entailment,"A woman with brown hair and red lipstick, who is taking a picture with a plane behind her.",A woman with brown hair and red lipstick,The woman who is taking a picture has brown hair and red lipstick.,
7197647874.jpg#1r1e,entailment,A male soccer player wearing a white jersey follows the ball tailed by two red-shirts from the opposing team.,A male soccer player wearing a white jersey,A male soccer player is the person that follows the ball,
4511339699.jpg#4r1e,entailment,Woman in coat standing outside in front of deli.,Woman in coat standing,Standing and standing are the same thing.,
6218174603.jpg#3r1e,entailment,Three people are riding longboards down a hill in full leather suits and helmets.,People are riding longboards,The act of riding longboards is the same as riding longboards.,
7544009146.jpg#4r1e,entailment,A man is playing an interment in a concert,A man is playing,playing an interment is inferred as  playing,
8086165175.jpg#0r1e,entailment,A woman sits on a bench in an art museum or church under a large religious painting.,a woman sits on a bench,A woman sitting on a bench is a woman who sits on a bench.,
1420185620.jpg#1r1e,entailment,A young girl moves some suitcases that are near an open window.,a young girl moves some suitcases,A young girl moves some suitcases that are near.,
3593538248.jpg#2r1e,entailment,A group of hockey players and one official stand on the ice during a game.,A group of hockey players and one official stand on the ice,they stand on the ice in both sentences,
2781018847.jpg#0r1e,entailment,Hard workers are enjoying their lunch break sitting in the shade against a building.,Hard workers are enjoying their lunch break,The workers are enjoying their lunch break.,
3815960082.jpg#0r1e,entailment,A little girl is sleeping with a book on her chest next to a doll.,a little girl is sleeping with a book,"If the little girl is sleeping with a book, then she is sleeping with a book.",
309612584.jpg#3r1e,entailment,Two kids peek their head from a pile of leaves on a beautiful fall day.,Two kids peek their head from a pile of leaves on a beautiful fall day,Pile of leaves implies a fall day.,
4088621077.jpg#0r1e,entailment,A small boy sitting with a group of troops wearing a combat helmet.,A small boy sitting with a group of troops,A boy sitting with troops is always sitting with troops no matter what he is wearing.,
3653764864.jpg#1r1e,entailment,People are walking up a zigzag patterned ramp in front of a building.,People are walking up a zigzag patterned ramp in front of a building.,"If people are walking up a zigzag patterned ramp, they must be walking up a zigzag patterned ramp.",
235541303.jpg#4r1e,entailment,A boy is playing with a screwdriver.,A boy is playing,HE IS PLAYING,
2508024651.jpg#2r1e,entailment,A drag queen dressed in black and white polka dots handing out a tray of Tropicana Orange Juice.,A drag queen dressed in black and white polka dots handing out a tray of Tropicana Orange Juice,handing out   implies  handing out,
3474912569.jpg#2r1e,entailment,A girl carries a sign that reads The Rescue while a group of people follow her.,A girl carries a sign,carries  implies  carries,
3310851569.jpg#4r1n,neutral,A band of four playing a gig.,A band of four playing .,A band playing does imply a band playing.,
7380095188.jpg#0r1e,entailment,A baseball player getting ready to throw a pitch in his windup.,A baseball player,All the words in sentence 1 are present in sentence 2; a baseball player,
7004426503.jpg#4r1e,entailment,A snowboarder crashes face first.,a snowboarder crashes,"""Crashes face first"" implies crashes.",
3527320221.jpg#3r1e,entailment,"Two guys, with no shirts on are throwing punches while in a cage.","Two guys, with no shirts on are throwing punches",Punches is a restatement of punches while in a cage.,
2423900639.jpg#4r1e,entailment,People with drinks gather in a room.,People with drinks gather,Gathering in a room must involve people that gather.,
3148690039.jpg#2r1e,entailment,A family is walking down the street holding hands.,a family is walking,A family is holding hands and walking down the street.,
303068767.jpg#0r1e,entailment,"A group of five young men standing together, two holding one in the air, in front of a truck with graffiti.",A group of five young men standing together,The group is standing weather they are doing anything or not.,
3240363291.jpg#0r1e,entailment,"A female dressed in striped shirt, black high top sneakers and black summer shirt, carrying a green purse, standing in line with a group of guys outside a concert arena.",A female dressed in striped shirt,Both subjects are dressed in striped shirt,
460921330.jpg#3r1e,entailment,She is jumping high in the air.,She is jumping high,"She is jumping; therefore, she is in the air.",
6340723441.jpg#2r1e,entailment,Working out to prep for the day of activity.,Working out to prep for the day,Working is a type of activity.,
2051194177.jpg#4r1e,entailment,A dog runs through the water while holding a stick in its mouth.,A dog runs,A dog runs through water.,
4348885877.jpg#3r1e,entailment,A bunch of kids playing with water.,kids playing with water,kids are a short form of expressing a bunch of kids.,
1350418415.jpg#3r4n,neutral,A man is sleeping inside on a bench with his hat over his eyes.,A man is sleeping,The fact that a man is sleeping inside on a bench with his hat over his eyes does not imply that a man is sleeping.,
4652954218.jpg#3r1e,entailment,Woman in purple shirt stares into the distance.,Woman in purple shirt stares into the distance,"A person, who is a woman, stares into the distance",
7464079150.jpg#0r1e,entailment,"A man carries plastic bags full of balloons, some of the balloons floating over his head, while standing on a place at high altitude.","A man carries plastic bags full of balloons, some of the balloons floating over his head, while standing on a place at high altitude.","A man carries plastic bags full of balloons, some of the balloons floating over his head, while standing on a place at high altitude is exactly the same as a man carries plastic bags full of balloons, some of the balloons floating over his head, while standing on a place at high altitude.",
2595186208.jpg#4r2e,entailment,A black dog jumping into a lake.,A black dog jumping,Black dogs can be jumping into a lake.,
6321336904.jpg#2r1e,entailment,"Several women running in a race, while the crowd looks on.",Several women running in a race,"If the women are running in a race, then they are running.",
3106782647.jpg#0r1e,entailment,A bike rider is airborne with a daytime sky in the background.,A bike rider is airborne,Rider is airborne is repeated as rider is airborne.,
5303938013.jpg#1r1e,entailment,A barefoot woman in sweats is leaping into the air with other similarly dressed people behind her.,woman in sweats,"If the woman is searing sweats, she is wearing sweats period.",
2348924378.jpg#3r1e,entailment,A little boy is swinging a bat at a ball.,A little boy is swinging a bat,"One is swinging a bat at something, one is swinging a bat at a ball.",
2386635533.jpg#2r1e,entailment,A woman throwing a white trash-bag into a dumpster in front of a car.,A woman throwing a white trash-bag into a dumpster in front of a car.,The woman throws a white trash-bag away in the same location. Both sentences are exactly the same.,
767310011.jpg#1r1e,entailment,People setting up chairs for some kind of event in front of a big building.,People setting up chairs for some kind of event,If the people are setting up chairs for an event then they are setting up an event.,
4105382797.jpg#4r1c,contradiction,Woman in African dress shovels grain.,Man in African dress shovels grain.,A woman is not a man.,
4851552952.jpg#1r1e,entailment,A woman is posing atop a scooter while a photographer prepares her camera.,A woman is posing atop a scooter while a photographer prepares her camera.,MANY PEOPLE ARE POSING FOR PHOTOGRAPHER.,
4069292165.jpg#4r1c,contradiction,Woman sets in cage and plays with rabbits.,Man sets in cage and plays with rabbits.,A woman and a man is two different people.,
3147758035.jpg#2r1e,entailment,The man on the bike is riding next to a man holding a dog.,A man holding a dog.,A repeat due to the shock of seeing a man holding a dog.,
3156431444.jpg#0r1e,entailment,A man is laughing with his hand up in the air and a little boy is watching him and laughing.,A man is laughing,A man laughing is laughing.,
3175923463.jpg#2r1e,entailment,Asian women in Asian costumes playing bamboo instruments.,Asian women in Asian costumes playing bamboo instruments,Asian women implies they are Asian.,
2979997455.jpg#3r1e,entailment,Three people talking to each other.,Three people talking to each other,"If three people are talking, it implies they are talking to each other.",
311196733.jpg#0r1e,entailment,A yellow muscle car is burning rubber while a man in the car with blond-hair looks at the tire.,A yellow muscle car is burning rubber,The car is burning rubber.,
7100199765.jpg#1r1e,entailment,One male in a blue sports uniform is kicking the soccer ball while a second man in a white sports uniform is trying to kick the ball out of the way.,One male in a blue sports uniform is kicking the soccer ball,"In soccer, when one male is kicking the soccer ball the opposing male will always try to kick the ball away from them",
4587844742.jpg#4r1e,entailment,Two blond ladies sitting at a table.,Two blond ladies sitting,Two blond ladies sitting is the same as two blond ladies sitting.,
407678652.jpg#4r1e,entailment,five hikers walk down the hillside.,Five hikers walk down the hillside,if five hikers are walking down a hillside then five hikers walk down a hillside.,
377406355.jpg#1r1e,entailment,A vendor sits in the middle of a display of glasses at a street market in an Asian country.,A vendor sits,The middle of a display of glasses is where the vendor sits.,
